mal_id,url,trailer,title,title_japanese,type,source,episodes,status,aired,duration,rating,score,members,favorites,genres
4282,https://myanimelist.net/anime/4282/Kara_no_Kyoukai_Movie_5__Mujun_Rasen,https://www.youtube-nocookie.com/embed/o3nYOOkXRfM?enablejsapi=1&wmode=opaque&autoplay=1,Kara no Kyoukai Movie 5: Mujun Rasen,劇場版 空の境界 the Garden of sinners 第五章『矛盾螺旋』,Movie,Light novel,1.0,Finished Airing,"Aug 16, 2008",1 hr 54 min,R - 17+ (violence & profanity),8.51,250274,4681,"Action, Drama, Fantasy, Mystery, Romance, Suspense"
35843,https://myanimelist.net/anime/35843/Gintama_Porori-hen,https://www.youtube-nocookie.com/embed/sznFcl1O3GI?enablejsapi=1&wmode=opaque&autoplay=1,Gintama. Porori-hen,銀魂。ポロリ編,TV,Manga,13.0,Finished Airing,"Oct 2, 2017 to Dec 25, 2017",23 min per ep,PG-13 - Teens 13 or older,8.51,217842,944,"Action, Comedy, Sci-Fi"
801,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG,https://www.youtube-nocookie.com/embed/D522fRIFfhI?enablejsapi=1&wmode=opaque&autoplay=1,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,攻殻機動隊 S.A.C. 2nd GIG,TV,Manga,26.0,Finished Airing,"Jan 1, 2004 to Jan 8, 2005",25 min per ep,R - 17+ (violence & profanity),8.51,238578,3251,"Mystery, Sci-Fi"
38474,https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2,https://www.youtube-nocookie.com/embed/ciGB8qOyXrM?enablejsapi=1&wmode=opaque&autoplay=1,Yuru Camp△ Season 2,ゆるキャン△ SEASON2,TV,Manga,13.0,Finished Airing,"Jan 7, 2021 to Apr 1, 2021",23 min per ep,PG-13 - Teens 13 or older,8.5,248026,3162,Slice of Life
11981,https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka★Magica_Movie_3__Hangyaku_no_Monogatari,https://www.youtube-nocookie.com/embed/aic9EjX2A8Y?enablejsapi=1&wmode=opaque&autoplay=1,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,劇場版 魔法少女まどか☆マギカ 叛逆の物語,Movie,Original,1.0,Finished Airing,"Oct 26, 2013",1 hr 56 min,PG-13 - Teens 13 or older,8.5,410111,9513,"Award Winning, Drama, Suspense"
35839,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho,https://www.youtube-nocookie.com/embed/jFgvK5BzGck?enablejsapi=1&wmode=opaque&autoplay=1,Sora yori mo Tooi Basho,宇宙よりも遠い場所,TV,Original,13.0,Finished Airing,"Jan 2, 2018 to Mar 27, 2018",23 min per ep,PG-13 - Teens 13 or older,8.5,543450,14690,"Adventure, Comedy, Drama"
31933,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,https://www.youtube-nocookie.com/embed/gagUdy3AY14?enablejsapi=1&wmode=opaque&autoplay=1,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,ジョジョの奇妙な冒険 ダイヤモンドは砕けない,TV,Manga,39.0,Finished Airing,"Apr 2, 2016 to Dec 24, 2016",23 min per ep,R - 17+ (violence & profanity),8.5,1226710,42457,"Action, Adventure"
40664,https://myanimelist.net/anime/40664/Shoujo☆Kageki_Revue_Starlight_Movie,https://www.youtube-nocookie.com/embed/z5hfWlnhTqk?enablejsapi=1&wmode=opaque&autoplay=1,Shoujo☆Kageki Revue Starlight Movie,劇場版 少女☆歌劇 レヴュースタァライト,Movie,Original,1.0,Finished Airing,"Jun 4, 2021",2 hr,PG-13 - Teens 13 or older,8.5,24843,1013,Drama
32182,https://myanimelist.net/anime/32182/Mob_Psycho_100,https://www.youtube-nocookie.com/embed/F8g3TuKsQHs?enablejsapi=1&wmode=opaque&autoplay=1,Mob Psycho 100,モブサイコ100,TV,Web manga,12.0,Finished Airing,"Jul 11, 2016 to Sep 27, 2016",24 min per ep,PG-13 - Teens 13 or older,8.49,2258377,52859,"Action, Comedy, Supernatural"
44070,https://myanimelist.net/anime/44070/Tian_Guan_Cifu_Special,https://www.youtube-nocookie.com/embed/O-584_wk3mw?enablejsapi=1&wmode=opaque&autoplay=1,Tian Guan Cifu Special,天官赐福特别节目,ONA,Web novel,1.0,Finished Airing,"Feb 16, 2021",21 min,PG-13 - Teens 13 or older,8.49,58785,522,"Action, Adventure, Drama, Fantasy"
40834,https://myanimelist.net/anime/40834/Ousama_Ranking,https://www.youtube-nocookie.com/embed/c1HHoucIxRg?enablejsapi=1&wmode=opaque&autoplay=1,Ousama Ranking,王様ランキング,TV,Web manga,23.0,Finished Airing,"Oct 15, 2021 to Mar 25, 2022",22 min per ep,PG-13 - Teens 13 or older,8.49,731559,13588,"Adventure, Fantasy"
12431,https://myanimelist.net/anime/12431/Uchuu_Kyoudai,https://www.youtube-nocookie.com/embed/ciS3fDqT1Vw?enablejsapi=1&wmode=opaque&autoplay=1,Uchuu Kyoudai,宇宙兄弟,TV,Manga,99.0,Finished Airing,"Apr 1, 2012 to Mar 22, 2014",24 min per ep,PG-13 - Teens 13 or older,8.48,207549,3924,Comedy
30276,https://myanimelist.net/anime/30276/One_Punch_Man,https://www.youtube-nocookie.com/embed/ExUMiF1L0HA?enablejsapi=1&wmode=opaque&autoplay=1,One Punch Man,ワンパンマン,TV,Web manga,12.0,Finished Airing,"Oct 5, 2015 to Dec 21, 2015",24 min per ep,R - 17+ (violence & profanity),8.48,3446276,66272,"Action, Comedy"
60543,https://myanimelist.net/anime/60543/Dandadan_2nd_Season,https://www.youtube-nocookie.com/embed/dwilf3OGe-A?enablejsapi=1&wmode=opaque&autoplay=1,Dandadan 2nd Season,ダンダダン 第2期,TV,Manga,12.0,Finished Airing,"Jul 4, 2025 to Sep 19, 2025",24 min per ep,R - 17+ (violence & profanity),8.47,448386,3190,"Action, Comedy, Supernatural"
58222,https://myanimelist.net/anime/58222/Given_Movie_3__Umi_e,https://www.youtube-nocookie.com/embed/s0Srq7l6kSM?enablejsapi=1&wmode=opaque&autoplay=1,Given Movie 3: Umi e,映画 ギヴン 海へ,Movie,Manga,1.0,Finished Airing,"Sep 20, 2024",1 hr 20 min,PG-13 - Teens 13 or older,8.47,25285,130,"Boys Love, Drama"
37779,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland,https://www.youtube-nocookie.com/embed/JIcjo7XVlOY?enablejsapi=1&wmode=opaque&autoplay=1,Yakusoku no Neverland,約束のネバーランド,TV,Manga,12.0,Finished Airing,"Jan 11, 2019 to Mar 29, 2019",22 min per ep,R - 17+ (violence & profanity),8.47,2108895,32827,"Mystery, Suspense"
33049,https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly,https://www.youtube-nocookie.com/embed/NhJQDAIwQVc?enablejsapi=1&wmode=opaque&autoplay=1,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,劇場版「Fate/stay night [Heaven's Feel] II.lost butterfly」,Movie,Visual novel,1.0,Finished Airing,"Jan 12, 2019",1 hr 57 min,R - 17+ (violence & profanity),8.47,425036,3557,"Action, Fantasy"
30654,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season,https://www.youtube-nocookie.com/embed/tZiHgr0kd7E?enablejsapi=1&wmode=opaque&autoplay=1,Ansatsu Kyoushitsu 2nd Season,暗殺教室　第２期,TV,Manga,25.0,Finished Airing,"Jan 8, 2016 to Jul 1, 2016",23 min per ep,PG-13 - Teens 13 or older,8.47,1535918,17847,"Action, Comedy"
3297,https://myanimelist.net/anime/3297/Aria_the_Origination,https://www.youtube-nocookie.com/embed/ycySMqzBzG0?enablejsapi=1&wmode=opaque&autoplay=1,Aria the Origination,ARIA The ORIGINATION,TV,Manga,13.0,Finished Airing,"Jan 8, 2008 to Apr 1, 2008",24 min per ep,G - All Ages,8.47,139127,4248,"Sci-Fi, Slice of Life"
47194,https://myanimelist.net/anime/47194/Summertime_Render,https://www.youtube-nocookie.com/embed/wtjP_PzzhTU?enablejsapi=1&wmode=opaque&autoplay=1,Summertime Render,サマータイムレンダ,TV,Manga,25.0,Finished Airing,"Apr 15, 2022 to Sep 30, 2022",23 min per ep,R - 17+ (violence & profanity),8.47,647420,10970,"Mystery, Supernatural, Suspense"
10165,https://myanimelist.net/anime/10165/Nichijou,https://www.youtube-nocookie.com/embed/CD6VdVDVDXI?enablejsapi=1&wmode=opaque&autoplay=1,Nichijou,日常,TV,Manga,26.0,Finished Airing,"Apr 3, 2011 to Sep 25, 2011",23 min per ep,PG-13 - Teens 13 or older,8.47,963141,25278,Comedy
57334,https://myanimelist.net/anime/57334/Dandadan,https://www.youtube-nocookie.com/embed/V3xNYDFsnN8?enablejsapi=1&wmode=opaque&autoplay=1,Dandadan,ダンダダン,TV,Manga,12.0,Finished Airing,"Oct 4, 2024 to Dec 20, 2024",23 min per ep,R - 17+ (violence & profanity),8.46,865303,14307,"Action, Comedy, Supernatural"
38450,https://myanimelist.net/anime/38450/Mo_Dao_Zu_Shi__Xian_Yun_Pian,https://www.youtube-nocookie.com/embed/J2bM2ETlGqA?enablejsapi=1&wmode=opaque&autoplay=1,Mo Dao Zu Shi: Xian Yun Pian,魔道祖师 羡云篇,ONA,Web novel,8.0,Finished Airing,"Aug 3, 2019 to Sep 21, 2019",24 min per ep,R - 17+ (violence & profanity),8.46,116407,1291,"Action, Adventure, Drama, Fantasy, Mystery"
37208,https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi,https://www.youtube-nocookie.com/embed/1OQuhyIL6Fo?enablejsapi=1&wmode=opaque&autoplay=1,Mo Dao Zu Shi,魔道祖师,ONA,Web novel,15.0,Finished Airing,"Jul 9, 2018 to Oct 6, 2018",25 min per ep,R - 17+ (violence & profanity),8.46,250671,7100,"Action, Adventure, Drama, Fantasy, Mystery"
6114,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin,,Rainbow: Nisha Rokubou no Shichinin,RAINBOW 二舎六房の七人,TV,Manga,26.0,Finished Airing,"Apr 7, 2010 to Sep 29, 2010",22 min per ep,R - 17+ (violence & profanity),8.46,418754,8624,"Drama, Suspense"
44087,https://myanimelist.net/anime/44087/Gintama__The_Semi-Final,,Gintama: The Semi-Final,銀魂 THE SEMI-FINAL,Special,Manga,2.0,Finished Airing,"Jan 15, 2021 to Jan 20, 2021",24 min per ep,PG-13 - Teens 13 or older,8.46,89660,267,"Action, Comedy"
392,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho,https://www.youtube-nocookie.com/embed/ZJEv4d2TYQ4?enablejsapi=1&wmode=opaque&autoplay=1,Yuu☆Yuu☆Hakusho,幽☆遊☆白書,TV,Manga,112.0,Finished Airing,"Oct 10, 1992 to Jan 7, 1995",23 min per ep,PG-13 - Teens 13 or older,8.46,738650,24317,"Action, Supernatural"
60988,https://myanimelist.net/anime/60988/Tian_Guan_Cifu_Short_Film,,Tian Guan Cifu Short Film,天官賜福 短片,ONA,Web novel,,Currently Airing,"Feb 12, 2025 to ?",8 min,PG-13 - Teens 13 or older,8.45,9575,129,"Action, Adventure, Drama, Fantasy"
56538,https://myanimelist.net/anime/56538/Kimi_ni_Todoke_3rd_Season,https://www.youtube-nocookie.com/embed/tJbJI5GE0jg?enablejsapi=1&wmode=opaque&autoplay=1,Kimi ni Todoke 3rd Season,君に届け3RD SEASON,ONA,Manga,5.0,Finished Airing,"Aug 1, 2024",1 hr 6 min per ep,PG-13 - Teens 13 or older,8.45,102499,750,"Drama, Romance"
31181,https://myanimelist.net/anime/31181/Owarimonogatari,https://www.youtube-nocookie.com/embed/TOlWzlNk0nw?enablejsapi=1&wmode=opaque&autoplay=1,Owarimonogatari,終物語,TV,Light novel,12.0,Finished Airing,"Oct 4, 2015 to Dec 20, 2015",26 min per ep,R - 17+ (violence & profanity),8.45,503162,2999,"Comedy, Mystery, Supernatural"
