mal_id,url,trailer,title,title_japanese,type,source,episodes,status,aired,duration,rating,score,members,favorites,genres,year,popularity_score
51009,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,https://www.youtube-nocookie.com/embed/PKHQuQF1S8k?enablejsapi=1&wmode=opaque&autoplay=1,Jujutsu Kaisen 2nd Season,呪術廻戦 懐玉・玉折／渋谷事変,TV,Manga,23,Finished Airing,"Jul 6, 2023 to Dec 28, 2023",23 min per ep,R - 17+ (violence & profanity),8.72,1274951,25031,"Action, Supernatural",2023,1111.757272
59192,https://myanimelist.net/anime/59192/Kimetsu_no_Yaiba_Movie_1__Mugenjou-hen_-_Akaza_Sairai,https://www.youtube-nocookie.com/embed/wPFeBxt7VXI?enablejsapi=1&wmode=opaque&autoplay=1,Kimetsu no Yaiba Movie 1: Mugenjou-hen - Akaza Sairai,劇場版 鬼滅の刃 無限城編 第一章 猗窩座再来,Movie,Manga,1,Finished Airing,"Jul 18, 2025",2 hr 35 min,R - 17+ (violence & profanity),8.71,283016,2893,"Action, Supernatural",2025,246.50693600000002
55016,https://myanimelist.net/anime/55016/Idol,,Idol,アイドル,Music,Original,1,Finished Airing,"Apr 12, 2023",3 min,PG-13 - Teens 13 or older,8.71,27395,338,,2023,23.861045000000004
1575,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch,,Code Geass: Hangyaku no Lelouch,コードギアス 反逆のルルーシュ,TV,Original,25,Finished Airing,"Oct 6, 2006 to Jul 29, 2007",24 min per ep,R - 17+ (violence & profanity),8.71,2412478,114660,"Award Winning, Drama, Sci-Fi",2006,2101.2683380000003
45649,https://myanimelist.net/anime/45649/The_First_Slam_Dunk,https://www.youtube-nocookie.com/embed/9o7-Cgetho4?enablejsapi=1&wmode=opaque&autoplay=1,The First Slam Dunk,THE FIRST SLAM DUNK,Movie,Manga,1,Finished Airing,"Dec 3, 2022",2 hr 4 min,PG-13 - Teens 13 or older,8.71,71117,1009,"Award Winning, Sports",2022,61.942907000000005
50172,https://myanimelist.net/anime/50172/Mob_Psycho_100_III,https://www.youtube-nocookie.com/embed/b1miJsAVYJA?enablejsapi=1&wmode=opaque&autoplay=1,Mob Psycho 100 III,モブサイコ100 III,TV,Web manga,12,Finished Airing,"Oct 6, 2022 to Dec 22, 2022",23 min per ep,PG-13 - Teens 13 or older,8.71,817883,12092,"Action, Comedy, Supernatural",2022,712.3760930000001
47778,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,https://www.youtube-nocookie.com/embed/QwvWdnd2Ktg?enablejsapi=1&wmode=opaque&autoplay=1,Kimetsu no Yaiba: Yuukaku-hen,鬼滅の刃 遊郭編,TV,Manga,11,Finished Airing,"Dec 5, 2021 to Feb 13, 2022",26 min per ep,R - 17+ (violence & profanity),8.71,1670059,25121,"Action, Supernatural",2021,1454.6213890000001
55255,https://myanimelist.net/anime/55255/Alien_Stage,,Alien Stage,ALIEN STAGE (에일리언스테이지),Music,Music,12,Finished Airing,"Sep 7, 2022 to Jun 27, 2025",3 min per ep,R - 17+ (violence & profanity),8.7,12442,683,"Drama, Sci-Fi, Suspense",2022,10.824539999999999
53998,https://myanimelist.net/anime/53998/Bleach__Sennen_Kessen-hen_-_Ketsubetsu-tan,https://www.youtube-nocookie.com/embed/m_i2PinZ_X4?enablejsapi=1&wmode=opaque&autoplay=1,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,BLEACH 千年血戦篇-訣別譚-,TV,Manga,13,Finished Airing,"Jul 8, 2023 to Sep 30, 2023",24 min per ep,R - 17+ (violence & profanity),8.7,383188,4933,"Action, Adventure, Supernatural",2023,333.37356
52215,https://myanimelist.net/anime/52215/Chi_Chikyuu_no_Undou_ni_Tsuite,https://www.youtube-nocookie.com/embed/Aju1yusWVKo?enablejsapi=1&wmode=opaque&autoplay=1,Chi. Chikyuu no Undou ni Tsuite,チ。―地球の運動について―,TV,Manga,25,Finished Airing,"Oct 5, 2024 to Mar 15, 2025",25 min per ep,R - 17+ (violence & profanity),8.7,247548,5778,Drama,2024,215.36675999999997
33095,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen,https://www.youtube-nocookie.com/embed/wxFCi-ybQ5k?enablejsapi=1&wmode=opaque&autoplay=1,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,昭和元禄落語心中～助六再び篇～,TV,Manga,12,Finished Airing,"Jan 7, 2017 to Mar 25, 2017",24 min per ep,PG-13 - Teens 13 or older,8.7,199209,3231,Drama,2017,173.31183
33352,https://myanimelist.net/anime/33352/Violet_Evergarden,https://www.youtube-nocookie.com/embed/g5xWqjFglsk?enablejsapi=1&wmode=opaque&autoplay=1,Violet Evergarden,ヴァイオレット・エヴァーガーデン,TV,Light novel,13,Finished Airing,"Jan 11, 2018 to Apr 5, 2018",24 min per ep,PG-13 - Teens 13 or older,8.69,1943153,67321,Drama,2018,1688.599957
44,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen,,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,るろうに剣心―明治剣客浪漫譚―追憶編,OVA,Manga,4,Finished Airing,"Feb 20, 1999 to Sep 22, 1999",29 min per ep,R - 17+ (violence & profanity),8.69,289500,6415,"Action, Drama, Romance",1999,251.57549999999998
21939,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou,https://www.youtube-nocookie.com/embed/CXhPRWY1L0E?enablejsapi=1&wmode=opaque&autoplay=1,Mushishi Zoku Shou,蟲師 続章,TV,Manga,10,Finished Airing,"Apr 5, 2014 to Jun 21, 2014",24 min per ep,PG-13 - Teens 13 or older,8.68,321276,1637,"Adventure, Mystery, Slice of Life, Supernatural",2014,278.867568
245,https://myanimelist.net/anime/245/Great_Teacher_Onizuka,,Great Teacher Onizuka,グレート・ティーチャー・オニヅカ,TV,Manga,43,Finished Airing,"Jun 30, 1999 to Sep 17, 2000",25 min per ep,R - 17+ (violence & profanity),8.68,897710,28198,Comedy,1999,779.21228
40434,https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian,https://www.youtube-nocookie.com/embed/YsA1hKfRqtQ?enablejsapi=1&wmode=opaque&autoplay=1,Mo Dao Zu Shi: Wanjie Pian,魔道祖师 完结篇,ONA,Web novel,12,Finished Airing,"Aug 7, 2021 to Oct 16, 2021",24 min per ep,R - 17+ (violence & profanity),8.68,93860,1714,"Action, Adventure, Drama, Fantasy, Mystery",2021,81.47048
