mal_id,url,trailer,title,title_japanese,type,source,episodes,status,aired,duration,rating,score,members,favorites,genres,start_date
51805,https://myanimelist.net/anime/51805/Ginga_Eiyuu_Densetsu__Die_Neue_These_-_Sakubou,https://www.youtube-nocookie.com/embed/AfDKYKRGG54?enablejsapi=1&wmode=opaque&autoplay=1,Ginga Eiyuu Densetsu: Die Neue These - Sakubou,銀河英雄伝説 Die Neue These 策謀,Movie,Novel,12.0,Finished Airing,"Sep 30, 2022 to Nov 25, 2022",25 min per ep,R - 17+ (violence & profanity),8.32,18033,71,"Drama, Sci-Fi",
10937,https://myanimelist.net/anime/10937/Kidou_Senshi_Gundam__The_Origin,https://www.youtube-nocookie.com/embed/XVPSq_fpKf4?enablejsapi=1&wmode=opaque&autoplay=1,Kidou Senshi Gundam: The Origin,機動戦士ガンダムTHE ORIGIN,OVA,Manga,6.0,Finished Airing,"Feb 28, 2015 to May 5, 2018",1 hr 11 min per ep,R+ - Mild Nudity,8.32,82536,953,Sci-Fi,
28701,https://myanimelist.net/anime/28701/Fate_stay_night__Unlimited_Blade_Works_2nd_Season,https://www.youtube-nocookie.com/embed/0PY9qcyr3-0?enablejsapi=1&wmode=opaque&autoplay=1,Fate/stay night: Unlimited Blade Works 2nd Season,Fate/stay night [Unlimited Blade Works] 2nd シーズン,TV,Visual novel,13.0,Finished Airing,"Apr 5, 2015 to Jun 28, 2015",24 min per ep,R - 17+ (violence & profanity),8.32,903746,9546,"Action, Fantasy",
5040,https://myanimelist.net/anime/5040/One_Outs,https://www.youtube-nocookie.com/embed/frCs_tLwelw?enablejsapi=1&wmode=opaque&autoplay=1,One Outs,ワンナウツ,TV,Manga,25.0,Finished Airing,"Oct 8, 2008 to Apr 1, 2009",23 min per ep,PG-13 - Teens 13 or older,8.32,252757,4215,"Sports, Suspense",
5081,https://myanimelist.net/anime/5081/Bakemonogatari,https://www.youtube-nocookie.com/embed/PugZi9QKL64?enablejsapi=1&wmode=opaque&autoplay=1,Bakemonogatari,化物語,TV,Light novel,15.0,Finished Airing,"Jul 3, 2009 to Jun 25, 2010",25 min per ep,R - 17+ (violence & profanity),8.32,1467982,50688,"Mystery, Romance, Supernatural",
22535,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu,https://www.youtube-nocookie.com/embed/9Oe9umzw1Gc?enablejsapi=1&wmode=opaque&autoplay=1,Kiseijuu: Sei no Kakuritsu,寄生獣 セイの格率,TV,Manga,24.0,Finished Airing,"Oct 9, 2014 to Mar 26, 2015",23 min per ep,R - 17+ (violence & profanity),8.32,1999796,36346,"Action, Horror, Sci-Fi, Suspense",
10162,https://myanimelist.net/anime/10162/Usagi_Drop,https://www.youtube-nocookie.com/embed/PlWk-96JHz4?enablejsapi=1&wmode=opaque&autoplay=1,Usagi Drop,うさぎドロップ,TV,Manga,11.0,Finished Airing,"Jul 8, 2011 to Sep 16, 2011",22 min per ep,PG-13 - Teens 13 or older,8.32,518911,6033,Slice of Life,
42886,https://myanimelist.net/anime/42886/Ginga_Eiyuu_Densetsu__Die_Neue_These_-_Gekitotsu,https://www.youtube-nocookie.com/embed/73ZRLL3dP7A?enablejsapi=1&wmode=opaque&autoplay=1,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,銀河英雄伝説 Die Neue These 激突,Movie,Novel,12.0,Finished Airing,"Mar 4, 2022 to May 13, 2022",25 min per ep,R - 17+ (violence & profanity),8.32,25463,144,"Drama, Sci-Fi",
55644,https://myanimelist.net/anime/55644/Dr_Stone__New_World_Part_2,https://www.youtube-nocookie.com/embed/g6lRblWDKCk?enablejsapi=1&wmode=opaque&autoplay=1,Dr. Stone: New World Part 2,Dr.STONE NEW WORLD,TV,Manga,11.0,Finished Airing,"Oct 12, 2023 to Dec 21, 2023",23 min per ep,PG-13 - Teens 13 or older,8.31,395487,1599,"Adventure, Comedy, Sci-Fi",
51440,https://myanimelist.net/anime/51440/Sasaki_to_Miyano_Movie__Sotsugyou-hen,https://www.youtube-nocookie.com/embed/1ZDrZqNFWjk?enablejsapi=1&wmode=opaque&autoplay=1,Sasaki to Miyano Movie: Sotsugyou-hen,映画 佐々木と宮野ー卒業編ー,Movie,Manga,1.0,Finished Airing,"Feb 17, 2023",51 min,PG-13 - Teens 13 or older,8.31,56678,382,Boys Love,17.02.2023
34534,https://myanimelist.net/anime/34534/Natsume_Yuujinchou_Go_Specials,,Natsume Yuujinchou Go Specials,夏目友人帳 伍 特別編,Special,Manga,2.0,Finished Airing,"Mar 30, 2017 to Apr 26, 2017",23 min per ep,PG-13 - Teens 13 or older,8.31,51491,66,"Slice of Life, Supernatural",
12029,https://myanimelist.net/anime/12029/Uchuu_Senkan_Yamato_2199,https://www.youtube-nocookie.com/embed/51utm_LNX8E?enablejsapi=1&wmode=opaque&autoplay=1,Uchuu Senkan Yamato 2199,宇宙戦艦ヤマト2199,OVA,Original,26.0,Finished Airing,"May 25, 2012 to Oct 25, 2013",25 min per ep,PG-13 - Teens 13 or older,8.31,123822,1903,"Action, Drama, Sci-Fi",
39112,https://myanimelist.net/anime/39112/Kawaki_wo_Ameku,,Kawaki wo Ameku,カワキヲアメク,Music,Original,1.0,Finished Airing,"Jan 29, 2019",4 min,PG-13 - Teens 13 or older,8.31,29823,191,,29.01.2019
7655,https://myanimelist.net/anime/7655/Major_S6,https://www.youtube-nocookie.com/embed/F07zIMLLya8?enablejsapi=1&wmode=opaque&autoplay=1,Major S6,メジャー 第6シリーズ,TV,Manga,25.0,Finished Airing,"Apr 3, 2010 to Sep 25, 2010",24 min per ep,PG-13 - Teens 13 or older,8.31,66587,475,Sports,
2559,https://myanimelist.net/anime/2559/Romeo_no_Aoi_Sora,,Romeo no Aoi Sora,ロミオの青い空,TV,Novel,33.0,Finished Airing,"Jan 15, 1995 to Dec 17, 1995",23 min per ep,PG-13 - Teens 13 or older,8.31,54939,688,"Adventure, Drama",
42984,https://myanimelist.net/anime/42984/Gotcha,,Gotcha!,GOTCHA!,Music,Game,1.0,Finished Airing,"Sep 29, 2020",3 min,PG - Children,8.31,30651,226,Fantasy,29.09.2020
34240,https://myanimelist.net/anime/34240/Shelter_Music,,Shelter (Music),シェルター,Music,Original,1.0,Finished Airing,"Oct 18, 2016",6 min,G - All Ages,8.31,327090,2423,Sci-Fi,18.10.2016
49571,https://myanimelist.net/anime/49571/Tunshi_Xingkong_2nd_Season,,Tunshi Xingkong 2nd Season,吞噬星空 第二季,ONA,Novel,26.0,Finished Airing,"Dec 29, 2021 to Sep 7, 2022",21 min per ep,PG-13 - Teens 13 or older,8.31,8474,140,"Action, Adventure, Fantasy, Sci-Fi",
10534,https://myanimelist.net/anime/10534/Doraemon_Movie_31__Shin_Nobita_to_Tetsujin_Heidan_-_Habatake_Tenshi-tachi,https://www.youtube-nocookie.com/embed/p7PtiTGk7EU?enablejsapi=1&wmode=opaque&autoplay=1,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,映画 ドラえもん 新・のび太と鉄人兵団～はばたけ 天使たち～,Movie,Manga,1.0,Finished Airing,"Mar 5, 2011",1 hr 48 min,PG - Children,8.31,21258,176,"Adventure, Comedy, Fantasy",05.03.2011
137,https://myanimelist.net/anime/137/Hunter_x_Hunter__Original_Video_Animation,,Hunter x Hunter: Original Video Animation,HUNTER×HUNTER Original Video Animation,OVA,Manga,8.0,Finished Airing,"Jan 17, 2002 to Apr 17, 2002",23 min per ep,PG-13 - Teens 13 or older,8.31,135204,437,"Action, Adventure, Fantasy",
1210,https://myanimelist.net/anime/1210/NHK_ni_Youkoso,https://www.youtube-nocookie.com/embed/QYLsjJ8RThQ?enablejsapi=1&wmode=opaque&autoplay=1,NHK ni Youkoso!,N・H・Kにようこそ！,TV,Novel,24.0,Finished Airing,"Jul 10, 2006 to Dec 18, 2006",23 min per ep,R+ - Mild Nudity,8.31,810865,29118,"Comedy, Drama, Romance",
48653,https://myanimelist.net/anime/48653/Yoru_ni_Kakeru,,Yoru ni Kakeru,夜に駆ける,Music,Other,1.0,Finished Airing,"Nov 16, 2019",4 min,PG-13 - Teens 13 or older,8.31,19438,91,,16.11.2019
56752,https://myanimelist.net/anime/56752/Shiguang_Dailiren__Yingdu_Pian,https://www.youtube-nocookie.com/embed/sUs5cPjPF-4?enablejsapi=1&wmode=opaque&autoplay=1,Shiguang Dailiren: Yingdu Pian,時光代理人 英都篇,ONA,Original,6.0,Finished Airing,"Dec 27, 2024 to Jan 31, 2025",32 min per ep,PG-13 - Teens 13 or older,8.3,60109,469,Drama,
5341,https://myanimelist.net/anime/5341/Ookami_to_Koushinryou_II,https://www.youtube-nocookie.com/embed/mnCXgfrjn1k?enablejsapi=1&wmode=opaque&autoplay=1,Ookami to Koushinryou II,狼と香辛料II,TV,Light novel,12.0,Finished Airing,"Jul 9, 2009 to Sep 24, 2009",23 min per ep,PG-13 - Teens 13 or older,8.3,515432,4308,"Adventure, Drama, Romance, Supernatural",
