mal_id,url,trailer,title,title_japanese,type,source,episodes,status,aired,duration,rating,score,members,favorites,genres,start_date
2631,https://myanimelist.net/anime/2631/The☆Doraemons__Goal_Goal_Goal,,The☆Doraemons: Goal! Goal! Goal!!,ザ☆ドラえもんズ ゴール！ゴール！ゴール！！,Movie,Manga,1,Finished Airing,"Mar 9, 2002",7 min,PG - Children,6.32,1992,0,"Comedy, Fantasy, Sci-Fi, Sports",09.03.2002
2633,https://myanimelist.net/anime/2633/The☆Doraemons__Dokidoki_Kikansha_Daibakusou,,The☆Doraemons: Dokidoki Kikansha Daibakusou!,ザ☆ドラえもんズ ドキドキ機関車大爆走！,Movie,Unknown,1,Finished Airing,"Mar 11, 2000",17 min,PG - Children,6.5,2332,0,"Adventure, Comedy, Fantasy, Sci-Fi",11.03.2000
2636,https://myanimelist.net/anime/2636/Dorami-chan__Arara_Shounen_Sanzokudan,,Dorami-chan: Arara Shounen Sanzokudan,ドラミちゃん アララ・少年山賊団！,Movie,Unknown,1,Finished Airing,"Mar 9, 1991",40 min,G - All Ages,6.1,1009,0,Fantasy,09.03.1991
2639,https://myanimelist.net/anime/2639/Dorami-chan__Hello_Kyouryuu_Kids,,Dorami-chan: Hello Kyouryuu Kids!!,ドラミちゃん ハロー恐竜キッズ!!,Movie,Unknown,1,Finished Airing,"Mar 6, 1993",40 min,G - All Ages,6.05,762,0,Fantasy,06.03.1993
2642,https://myanimelist.net/anime/2642/Dorami-chan__Aoi_Straw_Hat,,Dorami-chan: Aoi Straw Hat,ドラミちゃん 青いストローハット,Movie,Unknown,1,Finished Airing,"Mar 12, 1994",15 min,G - All Ages,5.99,591,0,Fantasy,12.03.1994
2645,https://myanimelist.net/anime/2645/Dorami___Doraemons__Space_Land_Kiki_Ippatsu,,Dorami & Doraemons: Space Land Kiki Ippatsu!,ドラミ＆ドラえもんズ 宇宙（スペース）ランド危機イッパツ！,Movie,Unknown,1,Finished Airing,"Mar 10, 2001",16 min,PG - Children,6.55,2153,0,"Adventure, Comedy, Fantasy, Sci-Fi",10.03.2001
2646,https://myanimelist.net/anime/2646/Dorami___Doraemons__Robot_Gakkou_Nanafushigi,,Dorami & Doraemons: Robot Gakkou Nanafushigi!?,ドラミ＆ドラえもんズ ロボット学校七不思議！？,Movie,Unknown,1,Finished Airing,"Mar 2, 1996",31 min,PG - Children,6.79,2519,1,Fantasy,02.03.1996
2647,https://myanimelist.net/anime/2647/Dorami-chan__Mini-Dora_SOS,,Dorami-chan: Mini-Dora SOS!!!,ドラミちゃん ミニドラSOS!!!,Movie,Unknown,1,Finished Airing,"Mar 11, 1989",40 min,G - All Ages,6.49,1265,0,Fantasy,11.03.1989
2648,https://myanimelist.net/anime/2648/Doraemon__2112-nen_Doraemon_Tanjou,,Doraemon: 2112-nen Doraemon Tanjou,ドラえもん ２１１２年ドラえもん誕生,Movie,Unknown,1,Finished Airing,"Mar 4, 1995",30 min,PG - Children,7.38,6941,7,"Comedy, Fantasy",04.03.1995
2649,https://myanimelist.net/anime/2649/Doraemon__Obaachan_no_Omoide,,Doraemon: Obaachan no Omoide,ドラえもん おばあちゃんの思い出,Movie,Unknown,1,Finished Airing,"Mar 4, 2000",27 min,PG - Children,7.38,4336,5,"Award Winning, Comedy, Fantasy, Sci-Fi",04.03.2000
2650,https://myanimelist.net/anime/2650/Doraemon_Movie__Boku_Momotarou_no_Nanna_no_Sa,,"Doraemon Movie: Boku, Momotarou no Nanna no Sa",映画 ドラえもん ぼく、桃太郎のなんなのさ,Movie,Unknown,1,Finished Airing,"Aug 1, 1981",47 min,PG - Children,6.5,2904,0,"Adventure, Fantasy, Sci-Fi",01.08.1981
2651,https://myanimelist.net/anime/2651/Doraemon__Kaette_Kita_Doraemon_Movie,,Doraemon: Kaette Kita Doraemon (Movie),ドラえもん 帰ってきたドラえもん,Movie,Unknown,1,Finished Airing,"Mar 7, 1998",27 min,PG - Children,6.98,3262,2,"Comedy, Fantasy",07.03.1998
2652,https://myanimelist.net/anime/2652/Doraemon__The_Day_When_I_Was_Born,,Doraemon: The Day When I Was Born,ドラえもん ぼくの生まれた日,Movie,Unknown,1,Finished Airing,"Mar 9, 2002",28 min,PG - Children,7.16,4130,0,"Comedy, Fantasy, Sci-Fi",09.03.2002
2653,https://myanimelist.net/anime/2653/Doraemon__Ganbare_Gian,,Doraemon: Ganbare! Gian!!,ドラえもん がんばれ！ジャイアン！！,Movie,Unknown,1,Finished Airing,"Mar 10, 2001",26 min,PG - Children,6.59,2196,0,"Adventure, Comedy, Fantasy",10.03.2001
2654,https://myanimelist.net/anime/2654/Doraemon_Movie_22__Nobita_to_Tsubasa_no_Yuusha-tachi,,Doraemon Movie 22: Nobita to Tsubasa no Yuusha-tachi,映画 ドラえもん のび太と翼の勇者たち,Movie,Unknown,1,Finished Airing,"Mar 10, 2001",1 hr 31 min,PG - Children,7.28,7471,2,"Adventure, Fantasy",10.03.2001
